duration,duration_days,season,sites,replicate,effect
4d,4,mon,s1,1,7305.91
4d,4,mon,s2,1,856.297
4d,4,mon,s3,1,649.93
4d,4,mon,s1,2,10121.62
4d,4,mon,s2,2,5137.85
4d,4,mon,s3,2,3059.89
4d,4,mon,s1,3,5384.3
4d,4,mon,s2,3,5014.66
4d,4,mon,s3,3,3378.15
4d,4,post,s1,1,6475.53
4d,4,post,s2,1,2923.15
4d,4,post,s3,1,554.05
4d,4,post,s1,2,7590.8
4d,4,post,s2,2,3888.01
4d,4,post,s3,2,600.07
4d,4,post,s1,3,6717.63
4d,4,post,s2,3,1542.93
4d,4,post,s3,3,1001.4
4d,4,pre,s1,1,9290.84
4d,4,pre,s2,1,2199.05
4d,4,pre,s3,1,1149.99
4d,4,pre,s1,2,5864.29
4d,4,pre,s2,2,4847.92
4d,4,pre,s3,2,4172.71
4d,4,pre,s1,3,8419.88
4d,4,pre,s2,3,685.18
4d,4,pre,s3,3,4133.15
7d,7,mon,s1,1,11129.86
7d,7,mon,s2,1,1492.36
7d,7,mon,s3,1,1375
7d,7,mon,s1,2,10927.16
7d,7,mon,s2,2,8131.14
7d,7,mon,s3,2,9610.08
7d,7,mon,s1,3,13732.55
7d,7,mon,s2,3,13314.01
7d,7,mon,s3,3,4075.65
7d,7,post,s1,1,11770.79
7d,7,post,s2,1,4254.88
7d,7,post,s3,1,753.2
7d,7,post,s1,2,11324.95
7d,7,post,s2,2,5133.76
7d,7,post,s3,2,2156.2
7d,7,post,s1,3,12103.76
7d,7,post,s2,3,3143.72
7d,7,post,s3,3,2603.23
7d,7,pre,s1,1,13928.88
7d,7,pre,s2,1,3208.28
7d,7,pre,s3,1,8015.04
7d,7,pre,s1,2,11851.47
7d,7,pre,s2,2,6815.31
7d,7,pre,s3,2,8478.77
7d,7,pre,s1,3,13600.48
7d,7,pre,s2,3,1219.46
7d,7,pre,s3,3,6987.5
